id,category,url_or_visible_text,status,video_time,video_seconds,source_url,evidence,notes
U001,프로그램 사이트 목록,https://www.dajaba.org,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 0.
U002,프로그램 사이트 목록,https://www.totomarket.org,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 1.
U003,프로그램 사이트 목록,http://www.toxabu.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 4.
U004,프로그램 사이트 목록,http://daumd03.net,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 5.
U005,프로그램 사이트 목록,https://www.xn--hs0by0egti.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 6. 한글 도메인: www.꽁머니.com.
U006,프로그램 사이트 목록,https://www.muksol.org,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 7.
U007,프로그램 사이트 목록,https://chongpancity.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 8.
U008,프로그램 사이트 목록,https://mtfuck.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 9.
U009,프로그램 사이트 목록,https://moca-2083.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 11.
U010,프로그램 사이트 목록,https://www.betde.org,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 12.
U011,프로그램 사이트 목록,https://www.mukjob.org,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 13.
U012,프로그램 사이트 목록,https://alspo1.net,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 14.
U013,프로그램 사이트 목록,http://www.pepsi24.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 15.
U014,프로그램 사이트 목록,https://progambles.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 16.
U015,프로그램 사이트 목록,https://bettingnori.net,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 17.
U016,프로그램 사이트 목록,https://pick-star.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 18.
U017,프로그램 사이트 목록,https://toto-day.com,판독,00:00,0.0,https://www.youtube.com/watch?v=PQgA-d87kro&t=0s,dense-start/dense-0001.png,화면 목록 No. 19.
